time,open,high,low,close,tick_volume,spread,real_volume
2023-04-28 08:00:00,1.1008499999999999,1.10096,1.09769,1.09912,3989,0,0
2023-04-28 09:00:00,1.09912,1.0994,1.09818,1.09881,2427,0,0
2023-04-28 10:00:00,1.0988,1.09986,1.09825,1.09839,1963,0,0
2023-04-28 11:00:00,1.09839,1.09883,1.09726,1.09739,1372,0,0
2023-04-28 12:00:00,1.09738,1.09952,1.09625,1.09846,5576,0,0
2023-04-28 13:00:00,1.09845,1.10156,1.09828,1.10006,5397,0,0
2023-04-28 14:00:00,1.10008,1.10411,1.09911,1.10369,6703,0,0
2023-04-28 15:00:00,1.1037,1.1045,1.1029,1.10397,4236,0,0
2023-04-28 16:00:00,1.10396,1.10407,1.10284,1.10309,2065,0,0
2023-04-28 17:00:00,1.10308,1.10308,1.1022,1.10239,1251,0,0
2023-04-28 18:00:00,1.10237,1.10259,1.10153,1.10172,1197,0,0
2023-04-28 19:00:00,1.10171,1.10209,1.10121,1.10195,923,0,0
2023-04-28 20:00:00,1.10194,1.10202,1.10141,1.10175,590,0,0
2023-04-30 21:00:00,1.102,1.10215,1.10173,1.10195,218,15,0
2023-04-30 22:00:00,1.1019700000000001,1.1020699999999999,1.10102,1.10115,293,0,0
2023-04-30 23:00:00,1.10116,1.10134,1.10101,1.10107,360,0,0
2023-05-01 00:00:00,1.1011,1.10144,1.10046,1.10055,959,0,0
2023-05-01 01:00:00,1.10056,1.1008499999999999,1.10022,1.1004,693,0,0
2023-05-01 02:00:00,1.10038,1.10082,1.10009,1.10082,584,0,0
2023-05-01 03:00:00,1.1008,1.1014,1.10056,1.1014,588,0,0
2023-05-01 04:00:00,1.10141,1.10143,1.10034,1.10064,588,0,0
2023-05-01 05:00:00,1.10063,1.10088,1.1001,1.10059,736,0,0
2023-05-01 06:00:00,1.10058,1.10066,1.0995,1.09978,1527,0,0
2023-05-01 07:00:00,1.0998,1.10058,1.09964,1.10034,1701,0,0
2023-05-01 08:00:00,1.10033,1.10033,1.09916,1.09921,1631,0,0
2023-05-01 09:00:00,1.09922,1.10045,1.09885,1.10032,941,0,0
2023-05-01 10:00:00,1.10031,1.10096,1.09999,1.10089,845,0,0
2023-05-01 11:00:00,1.10091,1.10139,1.10065,1.10134,1094,0,0
2023-05-01 12:00:00,1.10135,1.10336,1.10079,1.10329,2364,0,0
2023-05-01 13:00:00,1.10328,1.10355,1.10177,1.10187,2213,0,0
2023-05-01 14:00:00,1.10181,1.10181,1.09781,1.09816,4979,0,0
2023-05-01 15:00:00,1.09815,1.0982,1.09663,1.09694,2306,0,0
2023-05-01 16:00:00,1.09692,1.09715,1.09645,1.0967500000000001,1172,0,0
2023-05-01 17:00:00,1.09677,1.09721,1.09654,1.0972,1017,0,0
2023-05-01 18:00:00,1.09721,1.09757,1.09688,1.09695,1127,0,0
2023-05-01 19:00:00,1.09696,1.09735,1.09659,1.09729,1048,0,0
2023-05-01 20:00:00,1.09728,1.09768,1.09715,1.0975,672,0,0
2023-05-01 21:00:00,1.09755,1.09759,1.09726,1.09757,91,15,0
2023-05-01 22:00:00,1.09762,1.09762,1.09728,1.09734,66,15,0
2023-05-01 23:00:00,1.09741,1.09743,1.09674,1.09688,310,0,0
2023-05-02 00:00:00,1.09686,1.09791,1.09686,1.0979,853,0,0
2023-05-02 01:00:00,1.09789,1.09945,1.09787,1.09882,1210,0,0
2023-05-02 02:00:00,1.09884,1.09914,1.09861,1.09888,557,0,0
2023-05-02 03:00:00,1.09887,1.09887,1.09835,1.09842,420,0,0
2023-05-02 04:00:00,1.0984099999999999,1.09891,1.09792,1.09846,1482,0,0
2023-05-02 05:00:00,1.09848,1.09927,1.09834,1.09837,1054,0,0
2023-05-02 06:00:00,1.09835,1.09947,1.09832,1.09918,1489,0,0
2023-05-02 07:00:00,1.09917,1.10066,1.09825,1.0985800000000001,2889,0,0
2023-05-02 08:00:00,1.09856,1.09865,1.09595,1.09722,3858,0,0
2023-05-02 09:00:00,1.09718,1.09816,1.09494,1.09528,2813,0,0
2023-05-02 10:00:00,1.09529,1.09601,1.09483,1.09571,1708,0,0
2023-05-02 11:00:00,1.09569,1.09763,1.09569,1.09677,1862,0,0
2023-05-02 12:00:00,1.09679,1.09706,1.09544,1.09552,2240,0,0
2023-05-02 13:00:00,1.0955300000000001,1.09593,1.09422,1.09439,3016,0,0
2023-05-02 14:00:00,1.09438,1.09933,1.09434,1.09791,7418,0,0
2023-05-02 15:00:00,1.09792,1.09975,1.09779,1.09967,3423,0,0
2023-05-02 16:00:00,1.09969,1.10031,1.09942,1.09998,1550,0,0
2023-05-02 17:00:00,1.09999,1.10036,1.09948,1.09974,1032,0,0
2023-05-02 18:00:00,1.09976,1.10018,1.09973,1.10012,834,0,0
2023-05-02 19:00:00,1.10013,1.1008,1.10004,1.10058,608,0,0
2023-05-02 20:00:00,1.10059,1.10068,1.09982,1.09982,260,0,0
2023-05-02 21:00:00,1.09987,1.10027,1.09986,1.0999,124,15,0
2023-05-02 22:00:00,1.09993,1.10057,1.0998,1.10056,111,15,0
2023-05-02 23:00:00,1.10064,1.10138,1.1005,1.10108,424,0,0
2023-05-03 00:00:00,1.10109,1.10204,1.1005,1.10175,805,0,0
2023-05-03 01:00:00,1.10173,1.10241,1.10131,1.10228,820,0,0
2023-05-03 02:00:00,1.1023,1.10259,1.10198,1.10254,582,0,0
2023-05-03 03:00:00,1.10254,1.10299,1.10253,1.10296,391,0,0
2023-05-03 04:00:00,1.10295,1.10295,1.10215,1.10218,430,0,0
2023-05-03 05:00:00,1.1022,1.10265,1.10184,1.10201,687,0,0
2023-05-03 06:00:00,1.102,1.10318,1.10144,1.10307,1478,0,0
2023-05-03 07:00:00,1.10306,1.10413,1.10262,1.10345,2383,0,0
2023-05-03 08:00:00,1.10347,1.10468,1.10345,1.10397,1939,0,0
2023-05-03 09:00:00,1.10395,1.10469,1.10368,1.10405,1492,0,0
2023-05-03 10:00:00,1.10404,1.10406,1.10297,1.10328,1288,0,0
2023-05-03 11:00:00,1.1033,1.10437,1.10321,1.10396,1597,0,0
2023-05-03 12:00:00,1.10397,1.10436,1.10212,1.10384,3450,0,0
2023-05-03 13:00:00,1.10387,1.10436,1.10299,1.10315,2662,0,0
2023-05-03 14:00:00,1.10317,1.10594,1.10317,1.10528,4198,0,0
2023-05-03 15:00:00,1.10526,1.10586,1.10479,1.10479,2201,0,0
2023-05-03 16:00:00,1.10479,1.10529,1.10445,1.10469,1341,0,0
2023-05-03 17:00:00,1.1047,1.10532,1.10418,1.10505,1234,0,0
2023-05-03 18:00:00,1.1050200000000001,1.10915,1.10374,1.10602,14418,0,0
2023-05-03 19:00:00,1.106,1.10636,1.10405,1.10548,6257,0,0
2023-05-03 20:00:00,1.1054599999999999,1.10617,1.10518,1.10598,713,0,0
2023-05-03 21:00:00,1.10616,1.10655,1.1057,1.10625,233,15,0
2023-05-03 22:00:00,1.10623,1.10775,1.10623,1.10672,666,15,0
2023-05-03 23:00:00,1.1068,1.10727,1.10643,1.10686,653,0,0
2023-05-04 00:00:00,1.10688,1.10874,1.10688,1.10759,1470,0,0
2023-05-04 01:00:00,1.10761,1.10842,1.10715,1.10816,1543,0,0
2023-05-04 02:00:00,1.10818,1.10877,1.10806,1.1084100000000001,1136,0,0
2023-05-04 03:00:00,1.10843,1.10858,1.10804,1.10814,605,0,0
2023-05-04 04:00:00,1.10813,1.10874,1.10796,1.10816,624,0,0
2023-05-04 05:00:00,1.10815,1.10879,1.108,1.1084,916,0,0
2023-05-04 06:00:00,1.10842,1.10917,1.10728,1.10754,2586,0,0
2023-05-04 07:00:00,1.10752,1.10768,1.10522,1.1058,3393,0,0
2023-05-04 08:00:00,1.10578,1.1058,1.1037,1.10403,2507,0,0
2023-05-04 09:00:00,1.10404,1.1056,1.10367,1.1055,2246,0,0
2023-05-04 10:00:00,1.10551,1.10633,1.10492,1.10605,1943,0,0
2023-05-04 11:00:00,1.10606,1.10767,1.10603,1.10744,2153,0,0
2023-05-04 12:00:00,1.10746,1.10835,1.10015,1.10093,9460,0,0
2023-05-04 13:00:00,1.1009,1.10555,1.1003,1.1024,10964,0,0
2023-05-04 14:00:00,1.10238,1.10382,1.09861,1.10007,8827,0,0
2023-05-04 15:00:00,1.10008,1.1013600000000001,1.09956,1.10084,4948,0,0
2023-05-04 16:00:00,1.10082,1.10306,1.10081,1.10248,2671,0,0
2023-05-04 17:00:00,1.10249,1.10316,1.1020699999999999,1.10216,1780,0,0
2023-05-04 18:00:00,1.10214,1.10226,1.10113,1.10158,1342,0,0
2023-05-04 19:00:00,1.10157,1.10201,1.1013600000000001,1.10147,911,0,0
2023-05-04 20:00:00,1.1014599999999999,1.10154,1.10099,1.10099,311,0,0
2023-05-04 21:00:00,1.10115,1.1014,1.10108,1.10131,69,15,0
2023-05-04 22:00:00,1.10125,1.10206,1.10092,1.10206,188,15,0
2023-05-04 23:00:00,1.10213,1.10245,1.10195,1.1023,301,0,0
